Case,Video,Alpha,Threshold,Size_MB,Total_Frames,Sent_Frames,Det_Frames,Baseline_Det_Frames,Sent_Ratio_Pct,Det_Recall_Pct
Proposed,VIRAT_S_010000_02_000388_000421.mp4,0.05,0.181,133.19,592,592,592,592,100.0,100.0
Proposed,VIRAT_S_010000_02_000388_000421.mp4,0.1,0.227,133.19,592,592,592,592,100.0,100.0
Proposed,VIRAT_S_010000_02_000388_000421.mp4,0.2,0.283,133.19,592,592,592,592,100.0,100.0
Baseline,VIRAT_S_010000_00_000000_000165.mp4,-,-,879.28,3956,3956,3956,3956,100.0,100.0
Uniform(Q20),VIRAT_S_010000_00_000000_000165.mp4,-,-,217.12,3956,3956,3956,3956,100.0,100.0
Proposed,VIRAT_S_010000_00_000000_000165.mp4,0.01,0.164,879.28,3956,3956,3956,3956,100.0,100.0
Proposed,VIRAT_S_010000_00_000000_000165.mp4,0.05,0.241,879.28,3956,3956,3956,3956,100.0,100.0
Proposed,VIRAT_S_010000_00_000000_000165.mp4,0.1,0.282,879.28,3956,3956,3956,3956,100.0,100.0
Proposed,VIRAT_S_010000_00_000000_000165.mp4,0.2,0.331,879.28,3956,3956,3956,3956,100.0,100.0
Baseline,VIRAT_S_010000_01_000184_000324.mp4,-,-,732.01,3267,3267,3267,3267,100.0,100.0
Uniform(Q20),VIRAT_S_010000_01_000184_000324.mp4,-,-,179.49,3267,3267,3267,3267,100.0,100.0
Proposed,VIRAT_S_010000_01_000184_000324.mp4,0.01,0.129,732.01,3267,3267,3267,3267,100.0,100.0
Proposed,VIRAT_S_010000_01_000184_000324.mp4,0.05,0.211,732.01,3267,3267,3267,3267,100.0,100.0
Proposed,VIRAT_S_010000_01_000184_000324.mp4,0.1,0.255,732.01,3267,3267,3267,3267,100.0,100.0
Proposed,VIRAT_S_010000_01_000184_000324.mp4,0.2,0.308,732.01,3267,3267,3267,3267,100.0,100.0
Baseline,VIRAT_S_010000_04_000530_000605.mp4,-,-,396.44,1752,1752,1752,1752,100.0,100.0
Uniform(Q20),VIRAT_S_010000_04_000530_000605.mp4,-,-,96.39,1752,1752,1752,1752,100.0,100.0
Proposed,VIRAT_S_010000_04_000530_000605.mp4,0.01,0.102,396.44,1752,1752,1752,1752,100.0,100.0
Proposed,VIRAT_S_010000_04_000530_000605.mp4,0.05,0.19,396.44,1752,1752,1752,1752,100.0,100.0
Proposed,VIRAT_S_010000_04_000530_000605.mp4,0.1,0.236,396.44,1752,1752,1752,1752,100.0,100.0
Proposed,VIRAT_S_010000_04_000530_000605.mp4,0.2,0.293,396.44,1752,1752,1752,1752,100.0,100.0
Baseline,VIRAT_S_010000_05_000638_000718.mp4,-,-,388.03,1711,1711,1711,1711,100.0,100.0
Uniform(Q20),VIRAT_S_010000_05_000638_000718.mp4,-,-,95.02,1711,1711,1711,1711,100.0,100.0
Proposed,VIRAT_S_010000_05_000638_000718.mp4,0.01,0.1,388.03,1711,1711,1711,1711,100.0,100.0
Proposed,VIRAT_S_010000_05_000638_000718.mp4,0.05,0.172,388.03,1711,1711,1711,1711,100.0,100.0
Proposed,VIRAT_S_010000_05_000638_000718.mp4,0.1,0.221,388.03,1711,1711,1711,1711,100.0,100.0
Proposed,VIRAT_S_010000_05_000638_000718.mp4,0.2,0.279,67.97,1711,301,301,1711,17.59,17.59
